0;00:00:00.000
5;3:14.100
5;3:21.622
5;3:37.092
5;3:28.371
5;3:37.857
5;3:25.140
5;3:35.218
5;3:24.056
33;3:40.625
33;3:52.939
33;3:25.703
33;3:28.422
33;3:37.067
33;3:18.772
33;3:25.624
33;3:35.145
37;3:53.023
37;3:30.270
37;3:21.209
37;3:22.640
37;3:40.293
37;3:44.969
37;4:06.429
37;3:53.718
36;3:44.884
36;4:09.475
36;3:48.512
36;3:40.360
36;3:39.048
36;3:29.097
36;3:32.010
36;3:36.745
30;3:48.754
30;3:47.733
30;3:43.798
30;3:57.955
30;3:55.816
30;3:31.914
30;3:41.797
1;3:34.086
1;3:47.793
1;3:50.009
1;5:02.521
1;4:18.696
1;4:15.394
1;4:01.799
35;4:03.526
35;4:01.226
35;4:04.083
35;4:10.052
35;4:23.048
35;4:30.269
35;4:40.680
10;4:05.258
10;4:11.310
10;4:54.887
10;4:08.239
10;4:20.627
10;4:56.449
