0;1774648800000
5;1774648994100
5;1774649195722
5;1774649412814
5;1774649621185
5;1774649839042
5;1774650044182
5;1774650259400
5;1774650463456
33;1774649020625
33;1774649253564
33;1774649459267
33;1774649667689
33;1774649884756
33;1774650083528
33;1774650289152
33;1774650504297
37;1774649033023
37;1774649243293
37;1774649444502
37;1774649647142
37;1774649867435
37;1774650092404
37;1774650338833
37;1774650572551
36;1774649024884
36;1774649274359
36;1774649502871
36;1774649723231
36;1774649942279
36;1774650151376
36;1774650363386
36;1774650580131
30;1774649028754
30;1774649256487
30;1774649480285
30;1774649718240
30;1774649954056
30;1774650165970
30;1774650387767
1;1774649014086
1;1774649241879
1;1774649471888
1;1774649774409
1;1774650033105
1;1774650288499
1;1774650530298
35;1774649043526
35;1774649284752
35;1774649528835
35;1774649778887
35;1774650041935
35;1774650312204
35;1774650592884
10;1774649045258
10;1774649296568
10;1774649591455
10;1774649839694
10;1774650100321
10;1774650396770
